,train_losses,val_losses,type_f1s,polarity_f1s,tense_f1s,certainty_f1s
0,1.1465320825576781,1.080700159072876,0.19067175024824365,0.03026305721101471,0.35149895125822267,0.5679003668651743
1,1.0535668194293977,0.9743590996815608,0.7277912485537554,0.12541956470093632,0.341278550935298,0.8696501396337347
2,0.9518999910354614,0.8706516944445096,0.7321659165506461,0.9289074095180653,0.4553815644589118,0.8759600550178155
3,0.8386250376701355,0.7468462265454806,0.7333552918321731,0.9325292632506723,0.4842687516834327,0.8762617795921899
4,0.7107113230228425,0.6310153145056504,0.7336821023085831,0.9325292632506723,0.3555164185004081,0.8762617795921899
5,0.6054250514507293,0.5523148820950434,0.7336821023085831,0.9325292632506723,0.5265803852377818,0.8762617795921899
6,0.5360114079713821,0.48570252840335554,0.7402226491052847,0.9325292632506723,0.7421686529071952,0.8762617795921899
7,0.46452769994735715,0.41738354701262254,0.795015585445499,0.9325292632506723,0.7749251743801404,0.8762617795921899
8,0.41022797882556916,0.3773298951295706,0.803967957145533,0.9325292632506723,0.7887660346445343,0.8762617795921899
9,0.3721332401037216,0.3462101060610551,0.805318659352471,0.9325292632506723,0.8268756399029661,0.8917732907031397
10,0.34101228415966034,0.32171591887107265,0.8105057647168068,0.9325292632506723,0.8593537680222036,0.9162681042269983
11,0.31632581889629363,0.2989097168812385,0.8310758143741144,0.9325292632506723,0.8717949414132498,0.9219745271495565
12,0.2925755363702774,0.2813244163990021,0.8603363105211745,0.9326598481151303,0.8757473623100732,0.924020027419357
13,0.2716060692071915,0.2647272371328794,0.8732057583063387,0.94589373902845,0.8815630931008784,0.9255712971265486
14,0.2531106519699097,0.25714154770741093,0.8802268311942458,0.9636983007637056,0.887494813483031,0.928565733301067
15,0.23847011893987655,0.2457305147097661,0.8796241178483837,0.9660387230708081,0.8882690725062978,0.928900868775624
16,0.22438392013311387,0.24300790291566116,0.8812400399483761,0.9664828939316007,0.8833175611604369,0.9324714804359757
17,0.21124408334493638,0.2381288902117656,0.884879459943734,0.9697651562340673,0.8874891205692792,0.9303800634668811
18,0.19835677981376648,0.23947131175261277,0.884082612755894,0.970833088409919,0.8811312307296589,0.9302913742631336
19,0.18467004269361495,0.24565620261889237,0.8781212904885713,0.9740483070338048,0.8832653623337283,0.9304886298983938
20,0.172500758767128,0.24437306477473333,0.880659204891366,0.9731919418122894,0.8789807132704697,0.9310163781565962
21,0.16383414536714555,0.24691799168403333,0.8836749722087853,0.972688404509245,0.8803776578652965,0.9287301501861713
22,0.15053416043519974,0.24211541276711684,0.8823616354295005,0.9696254047261799,0.8814368474368598,0.9286900993908787
23,0.14202264159917832,0.2465001126894584,0.8834580644503917,0.9734877828177242,0.879405734391209,0.9292247868056372
24,0.1287473836541176,0.2500668936050855,0.8781386510055477,0.9713789615396488,0.8767992273955467,0.9272150979826279
25,0.11855499893426895,0.25407305589089024,0.8793292860089661,0.9730633977319022,0.8781640020526505,0.9258179131536395
26,0.10873550653457642,0.2654811923320477,0.8807827962853038,0.9749663735292029,0.879827284249819,0.9276587531284854
27,0.10147535875439644,0.2644993708683894,0.8796447209451768,0.9750432253813495,0.875648797167174,0.9243941163738753
28,0.09288424387574196,0.27499135870199937,0.8740442421872099,0.9728930842037407,0.8777461531977069,0.924756135143906
29,0.08557991176843643,0.2830768594375023,0.8779621808925765,0.9766622194206199,0.8796742882003297,0.9217729992256227
30,0.076576556712389,0.282314270734787,0.8785019166865143,0.9739243018787611,0.8790373685082177,0.9252215929983459
