,train_losses,val_losses,f1s
0,1.3276818373117103,1.2460212593986875,0.7385542878960711
1,1.182983062353479,1.0955255939846946,0.7385542878960711
2,1.0726967159524021,0.9983243942260742,0.7385542878960711
3,0.9859694587178978,0.9167215057781765,0.7385542878960711
4,0.9122559543115547,0.8485381376175654,0.7385542878960711
5,0.8453787062541548,0.7903321271850949,0.7385542878960711
6,0.787055865109685,0.7397949127923875,0.7385542878960711
7,0.7380785705095314,0.6926009513082958,0.7385542878960711
8,0.685299179640161,0.6377655494780767,0.7385542878960711
9,0.6322484684277729,0.5851924348445166,0.7452685219135657
10,0.585399418710226,0.5442389178843725,0.7948367631055828
11,0.5442924065044127,0.5098632687614078,0.840799425571854
12,0.5109086377793047,0.4823291599750519,0.8304215051173666
13,0.4820281439516918,0.4592751619361696,0.8606638640451717
14,0.4578154356364744,0.44352422725586665,0.8589031615345505
15,0.4343427466340812,0.4275024292014894,0.8582936230769416
16,0.417097270488739,0.4172862328234173,0.8571237055372277
17,0.40258029210998353,0.4054959132557824,0.8561349417896819
18,0.3894334496503853,0.39605391167459036,0.8644759311584558
19,0.3747305399682148,0.3855577664715903,0.8637661550435155
20,0.3632906276777566,0.3793277045090993,0.8698344267848921
21,0.3551937609192837,0.3734172483285268,0.8680572061413282
22,0.342807882701058,0.3690690511748904,0.863176600234018
23,0.33312639953142187,0.358555983929407,0.8672061662822454
24,0.3248283805617367,0.3568505573840368,0.8687441793456845
25,0.3198492997382061,0.3531415405727568,0.8641790574016031
26,0.3096833965146398,0.3473943102927435,0.8728004307517176
27,0.3030522471091833,0.344423356510344,0.8725253815799083
28,0.29682737301631146,0.33947729425770895,0.8719540825588975
29,0.28680716275450696,0.3365333988553002,0.8722376216964569
30,0.2832743550639555,0.3307389035111382,0.8727552083579979
31,0.27419901486620846,0.3266036645287559,0.8698221646579253
32,0.2689524219337716,0.3308804347401574,0.8712908146944633
33,0.26378556942365255,0.32870387250468847,0.8725561410141125
34,0.2553410478026034,0.3267226744265783,0.8730395057548016
35,0.2543615328080683,0.3241228461265564,0.8767096518162557
36,0.24952564343630548,0.32010417254198165,0.8761383003778316
37,0.2407650538237698,0.321924858150028,0.8750660944758746
38,0.23372104009950018,0.3200334204094751,0.8816250962818789
39,0.23491628270551382,0.3225706751857485,0.8826149184397339
40,0.22789180422403726,0.32126004851999734,0.8838447707321702
41,0.22352814046015224,0.318646660163289,0.8833459732933437
42,0.21804255121443644,0.3245499623673303,0.8830947790673578
