,train_losses,val_losses,type_f1s,polarity_f1s,tense_f1s,certainty_f1s
0,0.04232336929955362,0.015068722322388595,0.7292649476867976,0.9320641853889708,0.6041064805892635,0.8803776426124249
1,0.012922802036364546,0.008975339434276867,0.7292649476867976,0.9322156431883144,0.7892735096896474,0.8803776426124249
2,0.0075970930548138775,0.005965428579996237,0.7311106617216464,0.9336256195876869,0.8726003883986967,0.8942170830783155
3,0.005838401819016996,0.00519592838530938,0.7474767146196097,0.9332460929770301,0.8853084444556617,0.9118813502570356
4,0.005054737781536906,0.004711996172182895,0.7761291328664255,0.9332460929770301,0.8956618112062804,0.9306361231119503
5,0.004547949060182667,0.004543412945914402,0.8078708709674763,0.9330878382201503,0.8966365144981343,0.9344278635130414
6,0.004210426892211028,0.00524594392557976,0.8105172239758371,0.9326561601018248,0.9003935726373359,0.9293761284085478
7,0.003982649348623488,0.004634187850447845,0.8186663258757295,0.9328007803778524,0.9001152983055564,0.9371629075511734
8,0.0038173270897219344,0.004092628509197176,0.8137345431274792,0.9323670540385572,0.903289717734781,0.9237611492728788
9,0.003511433775076752,0.003939670816750427,0.8189101736071077,0.9325115846623424,0.9019423009334108,0.9361782728990767
10,0.0032942741387194233,0.003930016769991945,0.8206098585501063,0.93398119592591,0.904999661088132,0.939207810600863
11,0.003124828522866553,0.004897704386194028,0.8208851657483622,0.93398119592591,0.9016552756828983,0.9397244573301464
12,0.0029721824463263577,0.003956937412058989,0.8252152671237718,0.9346436316816886,0.9032695245004662,0.935523691082657
13,0.002767171979088881,0.003808168245656694,0.8306154747671773,0.9380799970935528,0.9049325415183007,0.9381719168076942
14,0.002604299150451245,0.003993133605893497,0.8389305036343657,0.9407865620528448,0.8999997249803686,0.93229298929607
15,0.002359463435593325,0.004257961300725801,0.8520978710888111,0.9456273359603308,0.9021896832916938,0.9337079965110755
16,0.002294717308568751,0.004015003190264662,0.8614698627065909,0.9512480604340076,0.8996380825095881,0.9270643312404043
17,0.0019942223820655237,0.003963648841546721,0.8681653352245271,0.9596366199882965,0.901090568765802,0.9322241330861639
