,train_losses,val_losses,type_f1s,polarity_f1s,tense_f1s,certainty_f1s
0,0.18820823072210738,0.23010576076996633,0.8863770901617739,0.9771976157113129,0.8683684750300263,0.9324290313290798
1,0.18443202526357613,0.2290249940676567,0.8844798928448003,0.977584701512068,0.8680859500451495,0.9332396803490981
2,0.18106990366389877,0.2292842116111364,0.8863176454287447,0.9782590288114035,0.8685726844642071,0.9332396803490981
3,0.1784081220822899,0.22907842542880621,0.8865777548006566,0.978234170926797,0.8695657524923425,0.9332396803490981
4,0.17752269528021938,0.22891094325444636,0.8858835572496698,0.978234170926797,0.8688181114785584,0.9336660630265373
5,0.1746116353100852,0.22929211801443344,0.8870772572426046,0.9778180890981953,0.8691914536102755,0.9334118716258669
6,0.17393323940862165,0.22905366199138838,0.8880618853751114,0.978234170926797,0.8698659433540119,0.9336249776772377
7,0.1716312296002319,0.22898950867163828,0.8880071133355292,0.9782829989107582,0.8721817278318034,0.9335823542517597
8,0.16930302894233087,0.22936029885059747,0.8869220077145622,0.9785165340785642,0.87171001002826,0.9337511522820561
9,0.16815475438182292,0.2295162891730284,0.8875631734896126,0.9783072137349437,0.8712184220824207,0.9335382226042129
10,0.16761743296918116,0.22947469353675842,0.8875552083026687,0.9782829989107582,0.8708705111330765,0.9335382226042129
11,0.1647324040532112,0.22918323905040056,0.8878264972389218,0.9787508940411398,0.8711190509432326,0.933156992212837
12,0.16284414836646696,0.22960180502671462,0.8881856124977042,0.9784683124570104,0.8712355254575421,0.9336579656818187
13,0.16150399733726917,0.22991041667186296,0.8880925542271967,0.9786231592241649,0.8714096870028368,0.9336092257711748
14,0.160241398862318,0.22993035194201347,0.8880003319503679,0.9784683124570104,0.8717016679538578,0.9339838744567356
15,0.16042482274535455,0.22996966387981024,0.8877174905890904,0.9784351643803425,0.8719004260877394,0.9339318559390326
16,0.15789520559146217,0.23018219532110754,0.8873018603618944,0.9784351643803425,0.8713736558964476,0.9341444730946726
17,0.15672129034799964,0.2305071831513674,0.8872441873688012,0.9788573011375173,0.8714175264088543,0.9340908530185398
18,0.15587899441781797,0.23051285801025537,0.8862194710727973,0.9786449237774419,0.8704435855940814,0.9337713205897444
19,0.15388956523843503,0.2304465984686827,0.8864646272096937,0.9788573011375173,0.8720629892840966,0.9345165297802801
20,0.15301082753821424,0.23099840164948732,0.8855769642897061,0.9788573011375173,0.8722341739129212,0.9343035297647903
21,0.15077288110593431,0.2310823374069654,0.8854970082357164,0.9788573011375173,0.8719358735608687,0.9340908530185398
