,train_losses,val_losses,f1s
0,1.0225591422563576,0.9219713324592227,0.9323670540385572
1,0.8513368088078787,0.7578000114077613,0.9323670540385572
2,0.7296084158391838,0.6496939375287011,0.9323670540385572
3,0.636280917259584,0.5629695909363883,0.9323670540385572
4,0.5561818667204983,0.4886434660071418,0.9323670540385572
5,0.4852847227131028,0.42309748558771043,0.9323670540385572
6,0.4213264756892101,0.36748916904131573,0.9323670540385572
7,0.36632028186177634,0.3203944876080468,0.9323670540385572
8,0.3189562984618796,0.28188319717134747,0.9323670540385572
9,0.28151039061058,0.25387704585279736,0.9323670540385572
10,0.2554282454482044,0.23532751273541225,0.9323670540385572
11,0.23863320698939175,0.22457221505187808,0.9323670540385572
12,0.22784180203116083,0.21967374959162303,0.9323670540385572
13,0.22227567631796183,0.21576250734783353,0.9323670540385572
14,0.2183361610016191,0.21345407054537818,0.9323670540385572
15,0.2109157736581492,0.18081350234292803,0.9323670540385572
16,0.1736462261662426,0.1523380715932165,0.9622818186225379
17,0.15472403949642755,0.13609859719872475,0.9677230450345827
18,0.14308854677231916,0.1309081521772203,0.9665470437919588
19,0.13658850684941534,0.12378631070965812,0.9669265912448813
20,0.1306713399847588,0.1176371978861945,0.9667483051333496
21,0.12542765497802252,0.1159180597889991,0.9669922001273936
22,0.12053191033472498,0.11167606019548007,0.9677762837908362
23,0.11747013005506561,0.10976563092498552,0.9681759883913051
24,0.11437085311276367,0.10827897311676116,0.9679267387589193
25,0.11220358722809567,0.10699407437017985,0.9679703129339318
26,0.10981608341526554,0.10339555250746864,0.9692103167950017
27,0.1074111202664404,0.1017627643332595,0.9691196275419276
28,0.10589765375816679,0.10116577006521679,0.9696276525020678
29,0.1026186707193952,0.10097096824929827,0.96863731390771
30,0.1014033051050571,0.1045012471399137,0.9689521223870864
31,0.09980108140103788,0.1033707099656264,0.9679427015547002
32,0.09784378306603575,0.10122388778697877,0.9687533931266725
33,0.0980950280216085,0.09922854620076361,0.9681368968044571
34,0.09368451193244343,0.10150357389024325,0.9681509448634187
35,0.0951614823327007,0.10007363203026,0.9682101394523069
36,0.0905842914145036,0.10371481024083637,0.9687827193160632
